finding,kind,elements,statement
kangaroo_care_self_contradiction,contradiction,"capability_kangaroo_care_space, ops_kangaroo_practiced","kangaroo_care_space contradicts kangaroo_care_practiced in 19 of 32 cases (59.4%)."
trained_nurses_never_trained,contradiction,"staff_nurses_neonatal, staff_last_training","36 of 48 facilities reporting trained neonatal nurses have last_neonatal_training_date = 'Never'."
referral_imbalance,contradiction,"ops_referrals_out, ops_referrals_in","Aggregate outbound referrals exceed inbound by 74% across a closed network."
power_without_generator,contradiction,"capability_electricity_reliable, capability_backup_generator","33 of 117 facilities have neither reliable power nor a backup generator while holding powered equipment."
night_shift_coverage_unreported,missing data,staff_night_coverage,"night_shift_coverage is blank for 63 of 117 facilities (53.8%). The column records only Full (9) and Partial (45); it has no value meaning 'none'. A blank is an unanswered question, not an absence of coverage, and is not counted as either."
surfactant_no_variance,low variance,ops_surfactant,"surfactant_available is 'No' in 116 of 117 facilities. The column cannot separate facilities and no comparison built on it would mean anything."
neonatologist_no_variance,low variance,staff_neonatologists,"neonatologists is 0 in 115 of 117 facilities. The national mean is a rounding artefact of two facilities and should not be read as staffing depth."
quality_improvement_no_variance,low variance,governance_qi_active,"quality_improvement_active is 'No' in 108 of 117 facilities. Present as a governance field, absent as a governance practice."
snapshot_joined_to_panel,grain,"governance_*, ops_*, staff_*, capability_*","facilities, governance, operations, and healthcare_workers are one row per facility with no date column; only clinical_neonatal is a monthly panel. Every governance_*, ops_*, staff_*, and capability_* figure in facility_capability and capability_summary is joined onto the 12-month clinical panel assuming constant-all-year state, an assumption the source data cannot verify. This is load-bearing for section 6's correlations, which match these assumed-constant covariates against a mortality rate that varies by quarter."
monthly_suffix_without_period,grain,"ops_referrals_out, ops_referrals_in","referrals_out_monthly and referrals_in_monthly are named for a monthly grain, but operations.csv carries no date or period column at all. The suffix cannot be checked against the source and is assumed, not verified."
correlation_static_vs_annual,grain,"governance_staff_trained_rate, capability_cpap_machines, ops_referral_time_hrs","Section 6's correlations pair each covariate's static, all-year capability value against a neonatal mortality rate summed across every available period, not matched to any specific quarter. The result is a pooled, annual comparison, not a quarter-scoped one."
unmapped_columns_never_mentioned,excluded,"avg_gestational_age, preterm_births_28_32w, preterm_births_32_37w, apgar_less_7_at_5min, birth_weight_less_2500g","Five gestational and birth-outcome columns are excluded from every mart and never mentioned in the bulletin. avg_gestational_age carries no information (uniform-sd-ratio 1.004, independent of the preterm counts it should predict); preterm_births_28_32w and preterm_births_32_37w are independent of avg_gestational_age and of each other, drawn separately by the generator; apgar_less_7_at_5min is independent of every clinical covariate it should track; birth_weight_less_2500g correlates r=0.018 with prematurity where reality gives 0.6-0.9. Each is disqualified on evidence recorded in crosswalk.csv, not dropped silently."
protocol_last_updated_not_rendered,not rendered,governance_protocol_updated,"protocol_last_updated (canonical governance_protocol_updated) is carried into facility_capability and capability_summary but is never queried or rendered anywhere in the bulletin or email edition."
