source_system,source_field,canonical_element,role,code_system,code,note
assignment_csv,facility_id,org_unit,identity,,,"Resolved to a surrogate. Prefix is NOT a district code: NYA maps to 7 districts, NGO to 2."
assignment_csv,facility_name,,unmapped,,,"Templated <District> + Hospital|Health Center N. Contradicts tier_level in 62 of 117 rows (53%). Retained as a display label with no semantic content."
assignment_csv,district,org_unit.parent,dimension,,,"Real: 30/30 correct against Rwanda administrative structure. org_unit at level=district."
assignment_csv,province,org_unit.parent,dimension,,,"Real: district-to-province mapping correct 30/30. org_unit at level=province."
assignment_csv,tier_level,org_unit.tier,dimension,,,"Four values, measurably two bands. District is statistically indistinguishable from Health Center across all equipment and specialist-staffing columns."
assignment_csv,gps_lat,,unmapped,,,"Uniform random within Rwanda bbox. Every province spans the full country extent. Unusable."
assignment_csv,gps_lon,,unmapped,,,"Uniform random within Rwanda bbox. Unusable."
assignment_csv,nicu_available,capability_nicu_available,observation,,,
assignment_csv,nicu_beds,capability_nicu_beds,observation,,,
assignment_csv,incubators_functional,capability_incubators_functional,observation,,,
assignment_csv,incubators_total,capability_incubators_total,observation,,,
assignment_csv,radiant_warmers,capability_radiant_warmers,observation,,,
assignment_csv,phototherapy_units,capability_phototherapy_units,observation,,,
assignment_csv,cpap_machines,capability_cpap_machines,observation,,,
assignment_csv,resuscitation_tables,capability_resuscitation_tables,observation,,,
assignment_csv,kangaroo_care_space,capability_kangaroo_care_space,observation,,,"Contradicts operations.kangaroo_care_practiced in 19 of 32 cases (59.4%)."
assignment_csv,electricity_reliable,capability_electricity_reliable,observation,,,
assignment_csv,backup_generator,capability_backup_generator,observation,,,"33 of 117 have neither reliable power nor a generator while holding powered equipment."
assignment_csv,reporting_month,period,dimension,,,"ISO YYYY-MM. 10 of 12 months present; 2024-02 and 2024-12 absent."
assignment_csv,total_deliveries,deliveries_total,observation,,,
assignment_csv,live_births,live_births,observation,,,"Exact identity: live_births = total_deliveries - stillbirths, 1404/1404."
assignment_csv,neonatal_deaths_0_7d,neonatal_deaths_early,observation,ICD-10,P00-P96,"Early neonatal, 0-7 days."
assignment_csv,neonatal_deaths_8_28d,neonatal_deaths_late,observation,ICD-10,P00-P96,"Late neonatal, 8-28 days."
assignment_csv,stillbirths,stillbirths,observation,ICD-10,P95,
assignment_csv,death_birth_asphyxia,neonatal_deaths_asphyxia,observation,ICD-10,P21,"Birth asphyxia."
assignment_csv,death_prematurity,neonatal_deaths_prematurity,observation,ICD-10,P07,"Disorders related to short gestation and low birth weight."
assignment_csv,death_sepsis,neonatal_deaths_sepsis,observation,ICD-10,P36,"Bacterial sepsis of newborn."
assignment_csv,death_congenital,neonatal_deaths_congenital,observation,ICD-10,Q00-Q99,"Congenital malformations."
assignment_csv,death_other,neonatal_deaths_other,observation,ICD-10,P00-P96,"Residual. The five cause columns sum to total neonatal deaths, 1404/1404."
assignment_csv,avg_gestational_age,,unmapped,,,"Uniform-sd-ratio 1.004, quantised to 0.1, no facility anchor. Independent of preterm counts. Carries no information."
assignment_csv,preterm_births_28_32w,,unmapped,,,"Independent of avg_gestational_age. Generator drew them separately."
assignment_csv,preterm_births_32_37w,,unmapped,,,"Independent of avg_gestational_age."
assignment_csv,apgar_less_7_at_5min,,unmapped,,,"Independent of every clinical covariate it should track."
assignment_csv,birth_weight_less_2500g,,unmapped,,,"r=0.018 against prematurity where reality gives 0.6-0.9. Disqualified for joint clinical-risk analysis."
assignment_csv,newborn_protocol_exists,governance_protocol_status,observation,,,"Pure function of protocol_last_updated staleness: Outdated iff >=24 months, 0/103 exceptions. Do not treat as independent evidence."
assignment_csv,protocol_last_updated,governance_protocol_updated,observation,,,"34 of 117 postdate the 2024 window; max 2025-10."
assignment_csv,death_audits_conducted_pct,governance_death_audit_rate,observation,,,
assignment_csv,staff_trained_on_protocol_pct,governance_staff_trained_rate,observation,,,"Pooled r=-0.844 against NMR is tier-confounded. Within tier: +0.042 / +0.111 / +0.144."
assignment_csv,quality_improvement_active,governance_qi_active,observation,,,
assignment_csv,supervision_visits_quarterly,governance_supervision_visits,observation,,,
assignment_csv,hmis_reporting_completeness,governance_reporting_completeness,observation,,,"Self-reported. Not an independent measure of completeness."
